number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
75185-1,Star Wars,Original Content,2017,Tracker I,4,557,48.006,28.194,6.096,1/6/17,31/12/2018
75044-1,Star Wars,Episode III,2014,Droid Tri-Fighter,4,262,22.1996,26.1874,6.1976,1/1/14,31/12/2015
75276-1,Star Wars,Helmet Collection,2020,Stormtrooper Helmet,,647,19.1,35.4,11.8,19/04/2020,31/12/2021
75240-1,Star Wars,Resistance,2019,Major Vonreg's TIE Fighter,4,496,38.2,26.2,7.1,1/4/19,31/12/2020
75039-1,Star Wars,Episode III,2014,V-wing Starfighter,2,201,26.1874,19.1008,6.096,1/1/14,31/12/2014
75135-1,Star Wars,Episode III,2016,Obi-Wan's Jedi Interceptor,2,215,26.2128,19.1008,6.096,1/1/16,31/12/2016
7121-1,Star Wars,Episode I,1999,Naboo Swamp,4,82,14.4,14.4,4.8,1/4/99,31/12/2000
75041-1,Star Wars,Episode III,2014,Vulture Droid,3,205,26.1874,19.1008,4.5974,1/1/14,31/12/2014
75154-1,Star Wars,Rogue One,2016,TIE Striker,4,543,48.006,28.194,6.096,30/09/2016,31/12/2017
75336-1,Star Wars,Obi-Wan Kenobi,2022,Inquisitor Transport Scythe,4,924,48,28.2,7.4,1/8/22,31/07/2024
7929-1,Star Wars,Episode I,2011,The Battle of Naboo,12,241,28.19,26.19,4.6,1/1/11,31/12/2012
7670-1,Star Wars,The Clone Wars,2008,Hailfire Droid & Spider Droid,5,249,28.8,28.8,4.8,1/1/08,31/12/2009
75314-1,Star Wars,The Bad Batch,2021,The Bad Batch Attack Shuttle,6,969,35.4,37.8,7.1,1/8/21,31/12/2022
4207901-1,Star Wars,Product Collection,2003,Star Wars MINI Bonus Pack,,277,,,,,
4500-1,Star Wars,Episode V,2004,Rebel Snowspeeder,3,214,28.8,19.2,6,1/1/04,31/12/2005
75255-1,Star Wars,Episode III,2019,Yoda,1,1771,35.4,37.8,11.8,4/10/19,31/12/2022
9492-1,Star Wars,Episode IV,2012,TIE Fighter,4,413,35.4,37.8,7.1,1/1/12,31/12/2013
75326-1,Star Wars,The Book of Boba Fett,2022,Boba Fett's Throne Room,7,732,48,28.2,7.4,1/3/22,31/12/2023
7110-1,Star Wars,Episode IV,1999,Landspeeder,2,49,14.4,9.6,4.8,22/02/1999,31/12/2000
7200-1,Star Wars,Episode VI,2002,Final Duel I,2,29,14.4,14.4,3.9,1/1/02,31/12/2003
9488-1,Star Wars,The Clone Wars,2012,Elite Clone Trooper & Commando Droid Battle Pack,4,98,19.1,14.1,4.6,1/1/12,31/12/2013
75101-1,Star Wars,The Force Awakens,2015,First Order Special Forces TIE Fighter,4,517,35.4076,37.7952,7.0612,4/9/15,30/04/2016
8016-1,Star Wars,The Clone Wars,2009,Hyena Droid Bomber,3,232,28.2,26.2,6.4,1/1/09,31/12/2010
75182-1,Star Wars,The Clone Wars,2017,Republic Fighter Tank,4,305,26.2128,19.1008,6.096,1/6/17,31/12/2018
75085-1,Star Wars,Episode II,2015,Hailfire Droid,3,163,20.4978,19.1008,6.096,1/1/15,31/12/2016
75036-1,Star Wars,Episode III,2014,Utapau Troopers,4,83,19.1008,14.097,4.5974,1/1/14,31/07/2015
7748-1,Star Wars,The Clone Wars,2009,Corporate Alliance Tank Droid,4,216,28.2,26.2,4.6,1/6/09,31/12/2010
7101-1,Star Wars,Episode I,1999,Lightsaber Duel,2,52,14.4,9.6,4.8,1/4/99,31/12/2000
75152-1,Star Wars,Rogue One,2016,Imperial Assault Hovertank,3,385,35.4076,19.1008,7.0104,30/09/2016,31/12/2017
75339-1,Star Wars,Diorama Collection,2022,Death Star Trash Compactor Diorama,6,802,38.2,26.2,7.1,26/04/2022,31/07/2024
7678-1,Star Wars,The Clone Wars,2008,Droid Gunship,3,329,38.4,28.8,6,26/07/2008,31/12/2008
75009-1,Star Wars,Planet Set,2013,Snowspeeder & Planet Hoth,1,69,14.1,19.1,8.8,1/1/13,31/12/2013
75338-1,Star Wars,Andor,2022,Ambush on Ferrix,3,679,28.2,26.2,9.6,1/8/22,31/07/2024
75532-1,Star Wars,Buildable Figures,2017,Scout Trooper & Speeder Bike,,452,38.2016,26.2128,7.0612,1/6/17,31/12/2018
7131-1,Star Wars,Episode I,1999,Anakin's Podracer,3,136,24,14.4,4.8,1/4/99,31/12/2000
75042-1,Star Wars,Episode III,2014,Droid Gunship,4,439,38.2016,26.1874,7.0612,1/1/14,31/12/2015
75216-1,Star Wars,The Last Jedi,2018,Snoke's Throne Room,5,492,38.2,26.2,7.05,1/8/18,31/07/2019
5000063-1,Star Wars,Episode I,2012,TC-14,1,3,,,,,
8012-1,Star Wars,Technic,2002,Super Battle Droid,,379,24,33.6,4.8,23/04/2002,31/12/2003
5005704-1,Star Wars,Product Collection,2018,Surprise Box,,61,,,,,
66674-1,Star Wars,Product Collection,2021,Skywalker Adventures Pack,,644,53.2,27,6.8,1/11/21,31/12/2021
75533-1,Star Wars,Buildable Figures,2018,Boba Fett,,144,14.1,26.2,6.1,1/1/18,31/12/2018
75056-1,Star Wars,Seasonal,2014,Star Wars Advent Calendar,9,274,38.2016,26.1874,7.0612,1/9/14,31/12/2014
7656-1,Star Wars,Episode III,2007,General Grievous Starfighter,1,232,28.8,28.8,6,1/1/07,31/12/2008
66556-1,Star Wars,Product Collection,2017,Super Pack 2 in 1,,242,,,,,
3342-1,Star Wars,Minifig Pack,2000,Star Wars #3 - Chewbacca and 2 Biker Scouts,3,22,,,,,
75147-1,Star Wars,Original Content,2016,StarScavenger,4,558,38.2016,26.2128,5.6388,1/6/16,31/12/2017
7134-1,Star Wars,Episode VI,2000,A-wing Fighter,2,125,19.2,19.2,6,1/1/00,31/12/2001
