number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
912065-1,Star Wars,Magazine Gift,2020,Luke Skywalker,1,7,,,,,
5002939-1,Star Wars,Rebels,2015,The Phantom,,25,,,,,
3219-1,Star Wars,Mini Building Set,2002,Mini TIE Fighter,,12,14,14,1,1/11/02,31/12/2003
912173-1,Star Wars,Magazine Gift,2021,Rey and BB-8,2,8,,,,,
912286-1,Star Wars,Magazine Gift,2022,Mandalorian Warrior,1,7,,,,,
30277-1,Star Wars,The Force Awakens,2016,First Order Star Destroyer,,56,17,19.5,0.9,1/1/16,31/12/2016
30244-1,Star Wars,Episode III,2014,Anakin's Jedi Interceptor,,45,17,19.5,1,1/1/14,31/12/2014
912289-1,Star Wars,Magazine Gift,2022,Princess Leia,1,5,,,,,
912062-1,Star Wars,Magazine Gift,2020,Stormtrooper,1,5,,,,,
30053-1,Star Wars,The Clone Wars,2011,Republic Attack Cruiser,,41,,,,,
911720-1,Star Wars,Magazine Gift,2017,The Ghost,,50,,,,,
911607-1,Star Wars,Magazine Gift,2016,Millennium Falcon,,42,,,,,
30056-1,Star Wars,Mini Building Set,2012,Star Destroyer,,38,,,,,
75119-1,Star Wars,Buildable Figures,2016,Sergeant Jyn Erso,,104,14.097,26.2128,6.096,30/09/2016,31/12/2017
912059-1,Star Wars,Magazine Gift,2020,Elite Praetorian Guard,1,7,,,,,
30381-1,Star Wars,Solo,2018,Imperial TIE Fighter,,42,17,17,1,20/04/2018,31/12/2019
30461-1,Star Wars,Episode I,2019,Podracer,,58,17,19.5,0.7,1/4/19,31/08/2019
30243-1,Star Wars,The Clone Wars,2013,Umbaran MHC,,49,14,14,1.2,1/1/13,31/12/2013
912281-1,Star Wars,Magazine Gift,2022,Clone Trooper,1,5,,,,,
911612-1,Star Wars,Magazine Gift,2016,Acklay,,49,,,,,
912285-1,Star Wars,Magazine Gift,2022,Darth Maul,1,3,,,,,
30497-1,Star Wars,The Last Jedi,2017,First Order Heavy Assault Walker,,54,17,17,0.9,1/9/17,31/12/2018
30278-1,Star Wars,The Force Awakens,2016,Poe's X-wing Fighter,,64,17,19.5,0.7,1/1/16,31/12/2016
911726-1,Star Wars,Magazine Gift,2017,Imperial Snowtrooper,1,5,,,,,
30274-1,Star Wars,Rebels,2015,AT-DP,,65,17,19.5,0.8,1/1/15,31/12/2015
30383-1,Star Wars,Episode I,2019,Naboo Starfighter,,48,17,17,1,1/4/19,31/12/2020
40298-1,Star Wars,The Last Jedi,2018,DJ,1,22,14,14,0.8,1/1/18,31/12/2018
911611-1,Star Wars,Magazine Gift,2016,AAT,,37,,,,,
30496-1,Star Wars,Rogue One,2017,U-Wing Fighter,,55,17,17,0.8,1/1/17,31/12/2018
30386-1,Star Wars,The Rise of Skywalker,2020,Poe Dameron's X-wing Fighter,,72,17,17,0.8,1/1/20,31/12/2020
30388-1,Star Wars,Episode VI,2021,Imperial Shuttle,,85,20,19.5,1.2,1/1/21,31/12/2021
30240-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,,54,17,17,0.8,1/1/13,31/12/2013
5004408-1,Star Wars,Rebels,2016,Rebel A-wing Pilot,1,5,,,,,
30276-1,Star Wars,The Force Awakens,2015,First Order Special Forces TIE Fighter,,41,17,19.5,0.8,4/9/15,31/12/2015
911943-1,Star Wars,Magazine Gift,2019,Luke Skywalker,1,6,,,,,
911839-1,Star Wars,Magazine Gift,2018,Obi-Wan Kenobi,1,6,,,,,
30055-1,Star Wars,Mini Building Set,2011,Vulture Droid,,42,14,17,1.5,1/1/11,31/12/2011
5004406-1,Star Wars,The Force Awakens,2016,First Order General,1,4,,,,,
30275-1,Star Wars,Rebels,2015,TIE Advanced Prototype,,47,17,19.5,0.8,1/1/15,31/12/2015
30279-1,Star Wars,The Force Awakens,2016,Kylo Ren's Command Shuttle,,43,17,19.5,0.8,1/1/16,31/12/2016
30384-1,Star Wars,Episode V,2019,Snowspeeder,,49,17,17,1.1,1/4/19,31/12/2020
912287-1,Star Wars,Magazine Gift,2022,Mandalorian Starfighter,,31,,,,,
911508-1,Star Wars,Magazine Gift,2015,Slave I,,20,,,,,
912283-1,Star Wars,Magazine Gift,2022,Tusken Raider,1,4,,,,,
911728-1,Star Wars,Magazine Gift,2017,First Order Snowspeeder,,44,,,,,
30498-1,Star Wars,Solo,2018,Imperial AT-Hauler,,49,17,17,0.8,1/8/18,31/12/2019
30380-1,Star Wars,The Last Jedi,2018,Kylo Ren's Shuttle,,33,17,17,0.8,1/1/18,31/12/2018
912057-1,Star Wars,Magazine Gift,2020,R2-D2 and MSE-6,2,13,,,,,
912288-1,Star Wars,Magazine Gift,2022,TIE Whisper,,34,,,,,
911951-1,Star Wars,Magazine Gift,2019,First Order Stormtrooper ,1,5,,,,,
912174-1,Star Wars,Magazine Gift,2021,Sith Trooper,1,5,,,,,
912280-1,Star Wars,Magazine Gift,2021,Millennium Falcon,,41,,,,,
912177-1,Star Wars,Magazine Gift,2021,Resistance A-wing,,45,,,,,
912284-1,Star Wars,Magazine Gift,2022,Razor Crest,,41,,,,,
TRULEIA-1,Star Wars,Promotional,2017,Princess Leia,,18,,,,,
912179-1,Star Wars,Magazine Gift,2021,Snowtrooper,1,5,,,,,
912178-1,Star Wars,Magazine Gift,2021,Republic Gunship,,51,,,,,
911832-1,Star Wars,Magazine Gift,2018,Imperial Shuttle Pilot,1,5,,,,,
911506-1,Star Wars,Magazine Gift,2015,Snowspeeder,,19,,,,,
911729-1,Star Wars,Magazine Gift,2017,Droid Gunship,,25,,,,,
8028-1,Star Wars,Mini Building Set,2008,TIE Fighter,,44,14,14,1.2,1/1/08,31/12/2013
911510-1,Star Wars,Magazine Gift,2015,Star Destroyer and TIE Fighter,,21,,,,,
911730-1,Star Wars,Magazine Gift,2017,Y-Wing,,60,,,,,
911618-1,Star Wars,Magazine Gift,2017,Flash Speeder,,43,,,,,
912282-1,Star Wars,Magazine Gift,2022,AT-AT,,52,,,,,
911840-1,Star Wars,Magazine Gift,2018,Droideka,1,24,,,,,
911722-1,Star Wars,Magazine Gift,2017,TIE Advanced,,26,,,,,
911835-1,Star Wars,Magazine Gift,2018,Dwarf Spider Droid,1,23,,,,,
912176-1,Star Wars,Magazine Gift,2021,Clone Turbo Tank,,57,,,,,
912170-1,Star Wars,Magazine Gift,2021,V-wing,,45,,,,,
911617-1,Star Wars,Magazine Gift,2016,Palpatine's Shuttle,,37,,,,,
911724-1,Star Wars,Magazine Gift,2017,A-wing,,47,,,,,
911613-1,Star Wars,Magazine Gift,2016,TIE Bomber,,26,,,,,
912175-1,Star Wars,Magazine Gift,2021,AT-ST Raider,,53,,,,,
30495-1,Star Wars,Episode V,2022,AT-ST,,79,17,17,1.7,1/1/22,31/12/2022
911953-1,Star Wars,Magazine Gift,2019,First Order SF TIE Fighter,,32,,,,,
911723-1,Star Wars,Magazine Gift,2017,Vulture Droid,,35,,,,,
911950-1,Star Wars,Magazine Gift,2019,B-wing,,52,,,,,
911609-1,Star Wars,Magazine Gift,2016,Naboo Starfighter,,34,,,,,
912066-1,Star Wars,Magazine Gift,2020,Jedi Interceptor,,33,,,,,
912061-1,Star Wars,Magazine Gift,2020,AT-AT,,51,,,,,
912064-1,Star Wars,Magazine Gift,2020,TIE Dagger,,37,,,,,
912067-1,Star Wars,Magazine Gift,2020,TIE Interceptor,,42,,,,,
911948-1,Star Wars,Magazine Gift,2019,AT-M6,,52,,,,,
912172-1,Star Wars,Magazine Gift,2021,Jedi Starfighter,,29,,,,,
911608-1,Star Wars,Magazine Gift,2016,Landspeeder,,37,,,,,
912058-1,Star Wars,Magazine Gift,2020,Sith Infiltrator,,34,,,,,
911945-1,Star Wars,Magazine Gift,2019,Slave I,,31,,,,,
911946-1,Star Wars,Magazine Gift,2019,U-wing,,37,,,,,
912063-1,Star Wars,Magazine Gift,2020,Resistance X-wing,,42,,,,,
911615-1,Star Wars,Magazine Gift,2016,AT-AT,,48,,,,,
912171-1,Star Wars,Magazine Gift,2021,TIE Bomber,,28,,,,,
911614-1,Star Wars,Magazine Gift,2016,Yoda's Hut,,29,,,,,
911947-1,Star Wars,Magazine Gift,2019,IG-88,1,11,,,,,
911616-1,Star Wars,Magazine Gift,2016,MTT,,45,,,,,
912060-1,Star Wars,Magazine Gift,2020,A-wing,,44,,,,,
911842-1,Star Wars,Magazine Gift,2018,Star Destroyer,,35,,,,,
911509-1,Star Wars,Magazine Gift,2015,Imperial Shooter,,20,,,,,
911725-1,Star Wars,Magazine Gift,2017,Sandcrawler,,50,,,,,
911954-1,Star Wars,Magazine Gift,2019,Kylo Ren's TIE Silencer,,33,,,,,
911834-1,Star Wars,Magazine Gift,2018,Finn,1,5,,,,,
911837-1,Star Wars,Magazine Gift,2018,AT-ST,,48,,,,,
911511-1,Star Wars,Magazine Gift,2015,Jedi Weapon Stand,,16,,,,,
911831-1,Star Wars,Magazine Gift,2018,Kylo Ren's Shuttle,,21,,,,,
911838-1,Star Wars,Magazine Gift,2018,Probe Droid,1,26,,,,,
911949-1,Star Wars,Magazine Gift,2019,Millennium Falcon,,32,,,,,
911841-1,Star Wars,Magazine Gift,2018,Poe Dameron's X-Wing,,48,,,,,
911836-1,Star Wars,Magazine Gift,2018,Quadjumper,,42,,,,,
912056-1,Star Wars,Magazine Gift,2020,TIE Striker,,28,,,,,
911727-1,Star Wars,Magazine Gift,2017,Rey's Speeder,,35,,,,,
911952-1,Star Wars,Magazine Gift,2019,Jedi Interceptor,,30,,,,,
911944-1,Star Wars,Magazine Gift,2019,Resistance Bomber,,37,,,,,
911833-1,Star Wars,Magazine Gift,2018,Imperial Shuttle,,36,,,,,
912055-1,Star Wars,Magazine Gift,2020,Snowspeeder,,28,,,,,
911610-1,Star Wars,Magazine Gift,2016,Probe Droid,1,19,,,,,
6968-1,Star Wars,Episode III,2005,Wookiee Attack,,48,,,,,
8029-1,Star Wars,Episode V,2008,Mini Snowspeeder,,66,,,,,
65707-1,Star Wars,Product Collection,2004,Bonus/Value Pack,,363,,,,,
65828-1,Star Wars,Product Collection,2005,Bonus/Value Pack,,244,,,,,
65844-1,Star Wars,Product Collection,2005,Bonus/Value Pack,,280,,,,,
65845-1,Star Wars,Product Collection,2005,Bonus/Value Pack,,371,,,,,
66142-1,Star Wars,Product Collection,2006,Bonus/Value Pack,,302,,,,,
66150-1,Star Wars,Product Collection,2006,Bonus/Value Pack,,396,,,,,
66221-1,Star Wars,Product Collection,2006,Bonus/Value Pack,,437,,,,,
66708-1,Star Wars,Product Collection,2022,Galactic Adventures Pack,,901,,,,,
75303-1,Star Wars,Ultimate Collector Series,2022,{?},,,,,,,
2853835-1,Star Wars,Minifig Pack,2010,White Boba Fett Figure,1,5,,,,,
4547551-1,Star Wars,Minifig Pack,2009,Chrome  Darth Vader,1,7,,,,,
6346097-1,Star Wars,Promotional,2020,Yoda's Lightsaber,,140,,,,,
6382975-1,Star Wars,Promotional,2019,Tantive IV,,56,,,,,
BOBAFETT1-1,Star Wars,Promotional,2010,White Boba Fett minifig and Star Wars book,,5,,,,,
FANEXPO2015-1,Star Wars,Promotional,2015,Tatooine Mini Build,,178,,,,,
LUKE-1,Star Wars,Promotional,2019,Luke Skywalker,,87,,,,,
MAY2013-1,Star Wars,Original Content,2013,Holocron Droid,,31,,,,,
NYCC2013-1,Star Wars,Promotional,2013,Yoda Display Box,,,,,,,
PORG-1,Star Wars,Promotional,2018,Porg,,75,,,,,
PROMOSW002-1,Star Wars,Promotional,2005,Anakin Skywalker (International Toy Fair 2005 Exclusive Figure),,,,,,,
PROMOSW003-1,Star Wars,Promotional,2005,Luminara Unduli (International Toy Fair 2005 Exclusive Figure),,,,,,,
PROMOSW004-1,Star Wars,Promotional,2007,Star Wars Celebration IV Exclusive,,26,,,,,
PROMOSW005-1,Star Wars,Promotional,2008,Han Solo / Indiana Jones Transformation ,2,64,,,,,
PROMOSW007-1,Star Wars,Promotional,2011,Star Wars Miniland Figures (Toy Fair 2011 Collector's Party) ,,140,,,,,
SDCC2015-2,Star Wars,Promotional,2015,Dagobah Mini Build,1,177,,,,,
SWCOMIC1-1,Star Wars,Magazine Gift,2015,X-wing,,23,,,,,
SWMF-1,Star Wars,Promotional,2017,Millennium Falcon,,20,,,,,
TRU03-1,Star Wars,Original Content,2013,Mini Jek-14 Stealth Fighter,,40,,,,,
TRUBB8-1,Star Wars,Promotional,2017,BB 8,,39,,,,,
TRUGHOST-1,Star Wars,Promotional,2014,Star Wars Rebel Micro Ghost,,42,,,,,
TRUSWMF-2,Star Wars,Promotional,2018,Millennium Falcon,,,,,,,
TRUTIE-1,Star Wars,Promotional,2014,TIE Fighter,,12,,,,,
TRUWOOKIEE-1,Star Wars,Promotional,2015,Wookiee Gunship,,41,,,,,
TRUXWING-1,Star Wars,Promotional,2014,X-wing,,23,,,,,
TRUXWING-2,Star Wars,Promotional,2015,Poe's X-wing Fighter,,27,,,,,
XWING-1,Star Wars,Promotional,2019,Mini X-wing Fighter,,60,,,,,
XWING-2,Star Wars,Promotional,2019,X-wing,,,,,,,
